group,Mean,SD,Median,Lower,Upper,Mean2,SD2,Median2,Lower2,Upper2,,
1999,0.654904659,0.192570355,0.660203917,0.265437698,1.01336489,0.654904659,0.192570355,0.660203917,0.265437698,1.01336489,,0
2006,0.731983722,0.161172086,0.734229996,0.414012221,1.04693876,0.675190521,0.161578452,0.676249779,0.354057356,0.98980404,11.76950903,8.4114334
2007,0.736616987,0.133678577,0.738503571,0.47107739,0.997123314,0.646898461,0.137447105,0.647171716,0.369381068,0.909015119,0.632973775,13.86902758
2008,0.734327844,0.114430813,0.736164462,0.502849783,0.955063505,0.660151064,0.119083279,0.660530404,0.42361432,0.89124332,-0.310764351,11.23633423
2009,0.73689421,0.106220603,0.73835701,0.525298721,0.942574709,0.63483394,0.111926511,0.6346567,0.413420044,0.854121628,0.349485046,16.07668771
2010,0.739895683,0.098493573,0.741323949,0.546254289,0.935034175,0.615863683,0.105252114,0.615836296,0.410673916,0.825266209,0.407313962,20.13952169
2011,0.742091445,0.092132094,0.743591602,0.559493344,0.922663441,0.595253669,0.098682841,0.594801112,0.399612714,0.78981837,0.296766429,24.66810095
2012,0.749841013,0.086748684,0.751674188,0.578118349,0.920559876,0.578767237,0.092508256,0.578745123,0.401276795,0.765881312,1.044287473,29.55830342
2013,0.756505058,0.081902543,0.758614752,0.59271626,0.914649231,0.563286233,0.087040547,0.563316355,0.39706095,0.741650087,0.888727728,34.3020677
2014,0.757466149,0.077071756,0.759306355,0.605338995,0.909050896,0.555701444,0.082408741,0.555926835,0.390508241,0.715590872,0.127043566,36.30811242
2015,0.782802508,0.070819398,0.78445487,0.638222767,0.917235661,0.574857383,0.078801466,0.575318928,0.41961406,0.7292921,3.344883337,36.17334162
2016,0.785679295,0.067079559,0.787326572,0.652065369,0.916289016,0.565699228,0.075273476,0.566187514,0.412341669,0.709521664,0.367498439,38.88640042
2018,0.787610948,0.063522443,0.789127188,0.661723727,0.912179255,0.557797968,0.072376613,0.558274614,0.417042276,0.702263471,0.245857694,41.20003894
